"id","staker","amount","block","previous_date","new_date","timestamp"
38,"0x20DBC085deb930D389fE399DEac9dB7A3448B198",41077444535,3262959,1621592895,1625221695,1618299484
3768,"0x55630EDa9b5701eCE290457DDDb7996B8C5DD3bc",142711585866,3347540,1621592895,1637317695,1620922220
6766,"0x58f9338D03849A06B41D4A4982d498489C375207",5800000000,3434484,1624012095,1625221695,1623675130
2394,"0x45911d3a245B8060bE613c35d2A84C8FeC23f8e8",500000000,3341426,1621592895,1625221695,1620732273
8094,"0x0c3c684403D88480Af1F98fF824fCE6a83C741e6",4678727097,3441262,1624012095,1626431295,1623897837
5822,"0xc3e1AC651F4bd092Cde3A3FE0E361ED3a2C4070C",32559000000,3376758,1621592895,1626431295,1621854349
6479,"0x4ABf36CfE4D3385C4670178aB2a5eA9B5314099b",20000000000,3419441,1624012095,1625221695,1623187989
8066,"0x15bD69F6217d28b8318E84B7f1ee367aef67dAfB",100261873459,3439618,1622802495,1628850495,1623843896
1151,"0x9bd6759F6d9EA15d33076E55D4CBBA7cf85877A7",42000000000,3326248,1620383295,1706264895,1620264832
6446,"0x097dA78486D49763b2Ad55F19327DC27068f8a20",39100000000,3416122,1622802495,1625221695,1623081639
700,"0x890E68421A6E1a3ff329F9bA920B9A1275e6cC18",2300000000,3317014,1620383295,1627640895,1619990807
8497,"0x7C27758644774d49D44031202127EE2E3c9840F1",7986101805,3475305,1622802495,1631269695,1624995243
692,"0x81a13eFD25bcC92Fe7869c6a8cfAb976007091FC",2023545769,3315533,1620383295,1631269695,1619947050
8777,"0x30cdFef4b9d4247247f640E042d37De26C812AD5",4400732676,3494319,1624012095,1627640895,1625591505
5946,"0x07E9d06db58A77407DB95D93Fbe1275a46F97463",3469765890,3384186,1619173695,1631269695,1622083173
5933,"0x1DC22e51C13b6e2C33fE1c4601BC789DABD4B823",771041190,3382659,1622802495,1627640895,1622035745
6624,"0xDD8A92B5c5E33B9659D5FE0e79D999faDAE9b2e3",25559739594,3426471,1624012095,1642156095,1623418457
4790,"0xCe8515C7b4B741e0e9335084bCCf779111Eb9f46",25450934675,3358380,1621592895,1627640895,1621264433
375,"0x671993e3190f696cEAA67AEf02c10fED01A020Da",10000000000,3290790,1619173695,1674815295,1619189650
5530,"0x6FfDe9a758a68a29af3D9354a9b69dafbe96723b",6612846971,3362792,1624012095,1628850495,1621406766
8513,"0x9D8385f270e7F709E64Fb6467b94373D9c4FBc52",24845479413,3480056,1622802495,1626431295,1625140876
6419,"0x4270dE12D4D511C63eAB63292A5fc2F1055Dd5f3",40000000000,3411893,1624012095,1632479295,1622950686
533,"0x1e64268f1FdF6215bC094338aa135cCe75443ec1",5000000000,3287932,1621592895,1626431295,1619102782
8096,"0xb2048D9115fE5C2AD9e89c9625E220A68761e5c0",604251111,3442190,1624012095,1626431295,1623926797
2382,"0x644836Bea663110bE0AFb0b04dC1eC7492dEb14A",350000000000,3341083,1620383295,1625221695,1620721599
8136,"0xD0Aa804ddE4315Da2ed244EA5FB3E1767D5008bC",44371405094,3444229,1624012095,1631269695,1623992452
780,"0xDd711b4690cFad50891cADDD34D56F64CEC9d85b",63000000000,3322721,1620383295,1625221695,1620159749
5778,"0xE518F19E480F9E5f17ebb71cE498d76D34dF239A",1213368075,3374189,1621592895,1627640895,1621773184
1862,"0xCA49011B07339DD8200aA12075aB14d318CC3A6b",13065200000,3338136,1621592895,1642156095,1620631670
6747,"0x34e917BFA9a0353f0Cea24f6F21B06701128e977",9276358826,3431300,1624012095,1625221695,1623572612
8860,"0x2D3C839208eE70D17e578E59f96fB9f8Da546562",1500000000,3515759,1622802495,1630060095,1626265764
8789,"0x43a0dD279e3ac8989C53106E959334F6F8Ff0043",409606259,3499940,1624012095,1630060095,1625766149
6612,"0x8b765a02a7F7D5D659e0328e66A65E8877be5fBa",41356000000,3425174,1621592895,1626431295,1623376557
1268,"0x4Dfd01933C8af1151d208a897b97926A2a47867E",75000000000,3330682,1620383295,1628850495,1620399340
158,"0x81bcA173e3af097dccAbbcEF20ce213Ca20a5953",40000000000,3272048,1624012095,1637317695,1618603752
6242,"0x3eC7FaF79CFefFeb7fdA159E9DD1B090B0070D5C",5788869246,3399855,1622802495,1632479295,1622573091
6408,"0xef39Ca43fCE490064E1A150D02De4184Ecc74Dc9",1000000000,3409566,1622802495,1626431295,1622879391
3754,"0x395c6d3D468E0DfD470Bb8679F59dF36EEA62Fd7",1000000000,3346494,1622802495,1640946495,1620889717
8203,"0xeD5D4aA57E28689050Eb7DE9975D79E0B254F4A0",3141006886,3456203,1624012095,1626431295,1624382708
3752,"0x67611d1607F4C712fB12e2B5e2a855f8Cd8dca1D",3600000000,3346487,1621592895,1628850495,1620889526
725,"0x67611d1607F4C712fB12e2B5e2a855f8Cd8dca1D",3600000000,3321835,1621592895,1630060095,1620133675
5697,"0x9d54839c41bF71dc1E53eC238a5aBf02F686F999",11529781783,3366775,1621592895,1648204095,1621541396
1278,"0x63b68919A474e9E9633FcCE41c4aeF18A5e2B3ad",50000000000,3331076,1620383295,1626431295,1620414160
361,"0x0EC1B71F056De130613397AE6680617f1d252Ccd",10000000000,3290269,1621592895,1627640895,1619174340
6271,"0x1b194c5f365A387711eD1dF6274e7f36552Cb594",5701479757,3402017,1624012095,1626431295,1622643203
5895,"0x018f9e9e09d8A3e817128882Eaaf9a0d3BB24054",2469496203,3379133,1620383295,1634898495,1621926305
6745,"0x5d9bF1B79A2179bC1Ca2FD429681533b9180AD47",102211585866,3430177,1624012095,1625221695,1623537619
1745,"0x8b13aEE492A857982a3A78a3543650E8C53ad221",10000000000,3332734,1620383295,1627640895,1620465127
79,"0x0c0ECA310cF57997693C8417Df1Ccc0729335645",7343868118,3264761,1621592895,1625221695,1618361962
6768,"0x76c2728425223E2eE39B9Ad709Dc74C8A086Bf0d",1000000000,3434489,1621592895,1625221695,1623675301
6460,"0xfcc34cB29FF87186ec256a1550Eb8c06dF6d8199",102711600000,3417933,1624012095,1631269695,1623140076
5603,"0xdA8f46C5f3f37e2A71E359Db2383E72e72Fdd15f",6427091591,3365911,1622802495,1707474495,1621514361
128,"0xf725fa201544133Cd5F2599ba96EC71D4ac83e92",102711585000,3266094,1622802495,1648204095,1618406343
6600,"0xf36a9bc7452d358Ad2EfD26afE0413a23de96Fca",102711500000,3424051,1622802495,1631269695,1623340497
6432,"0x12392c37c346d1D05795ae4118e788337B73832e",144536605,3414287,1622802495,1630060095,1623024136
9248,"0x5C9359DcD2C749c368CDe85dfE9A5230d1760c47",7700000000,3549044,1620383295,1634898495,1627324693
6422,"0x24855e0297dF1ff060faC834aBAC378F946fc2e5",12000000000,3411919,1624012095,1632479295,1622951558
9840,"0x0877acafd6362938B38a7b28a6f8F5121e51E791",8700000000,3570138,1622802495,1631269695,1627990518
5769,"0x17623b59F7D0adB0377B1e01021d1e412936aD91",43313948233,3372714,1621592895,1705055295,1621727528
1252,"0x37E8d618D0de446f9e2D68511db1f9a6703705C2",190032867,3330319,1620383295,1627640895,1620387631
6630,"0x98Ff7895075fE2978eCe7580F74f4025E396A732",4000000000,3427251,1621592895,1626431295,1623443414
3097,"0x9364857486c8c8c6ea3c4DB4bB4B86c6b03e4b9B",1337920568,3343845,1622802495,1627640895,1620806397
7115,"0xC752f1f65071618a10A4abed1635C8F22c942d5F",5366331912,3434923,1622802495,1630060095,1623690383
10135,"0xD4a31E42f71973eEe39B8161AB5eFFB7F08CC639",4464220261,3616386,1624012095,1644575295,1629438095
6545,"0x0b396Ca0C60120e60cb0f1ea46087C31adf3bf27",41221077893,3420908,1622802495,1627640895,1623235210
5943,"0xA744767924F50c946D1f3B64a40B404cb3664c99",6361419201,3383626,1620383295,1625221695,1622065593
163,"0x52288335eEb0975a03256b1EaCa8B2f6ed7f8AEB",3866161683,3274345,1621592895,1680863295,1618675889
5741,"0x05f39aB06cFBE54c73F0183dcb0a85520D44d7c2",112636574787,3370079,1621592895,1627640895,1621647447
9840,"0x0877acafd6362938B38a7b28a6f8F5121e51E791",54472364652,3570138,1622802495,1631269695,1627990518
6604,"0x3Cba8932F4718636C9522670C56F5fbbf943A506",31289103104,3424183,1624012095,1625221695,1623344599
5998,"0xCE5Db5cb0B58F08261D1736C150d9e51248daA4C",782479168,3391841,1624012095,1644575295,1622320762
9969,"0x1d283425c8339C5d34B41c407a582a0c90E5DD5E",171000000000,3587831,1621592895,1633688895,1628546942
6279,"0x63bf3DeA87743b197F5fD37e5715840e63A882CD",537901301339,3402750,1624012095,1625221695,1622666889
143,"0xB974e45153D940d5AAA45f39a1d7b421e0f88B0A",6383864597,3266632,1624012095,1650623295,1618424991
4777,"0xf6164703079311bC87177115FCeAc63Ac281C394",4760000000,3354372,1621592895,1625221695,1621138404
5897,"0x0C4DfF600a3Ef5C11a3506642e62a7d480b60252",1267712383,3379166,1620383295,1627640895,1621927205
6310,"0x9A8fa64073EDD15E8490E3a71a10a56aEB2b772e",1179308237,3404862,1622802495,1625221695,1622733726
5793,"0x1BdCD0251d867A499f2c65916d74789D39186E81",12403390490,3376685,1620383295,1627640895,1621851940
669,"0x1d5988a544db4639D36A455Ae411bB219FDD84bf",2500000000,3311228,1624012095,1703845695,1619819138
8186,"0xEd878594b9E18D8C184AcB3aCb1812766C4E922c",6000001723,3452458,1624012095,1626431295,1624257456
5717,"0x726C75D29820D60eC524FDE644CD76Fa82AF2741",420000000,3368161,1621592895,1707474495,1621585952
6281,"0x02b1040cD6746328BA5bc9F81FA7690522cc6df0",2500000000,3403834,1622802495,1640946495,1622700763
5690,"0x1d80C6d53Bee7353aCD8835002C0aCEA7A5A779E",11406789834,3366746,1621592895,1648204095,1621540594
1732,"0x8DC693666b3a6f5028E32C54b987109CAc717010",2000000000000,3331992,1620383295,1625221695,1620442125
3746,"0xe5df77b5c1C541cDA961bAFBdaB2b9FB94831f98",21095000000,3345542,1621592895,1628850495,1620860393
5595,"0x345FC578Bf09985912Ca35bD8dc14db7ced43c4D",2400000000,3365732,1624012095,1706264895,1621508284
5728,"0xf76c8BacC09a793D3efa6593F855761ab77E5cd2",10025487398,3368803,1621592895,1627640895,1621606126
9940,"0x0fA36ea577AD67C61e0b7631C55BD305533B8C94",2500000000,3578636,1624012095,1649413695,1628257430
